latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
-22.391993;-44.962824;927.8;0.6;5.32;1.285714286;750.46;1;0.6;0
-22.391928;-44.962776;928.2;0.4;8.75;1.685714286;759.21;1;0.4;0
-22.391907;-44.962759;928.2;0;2.92;1.685714286;762.13;1;0;0
-22.391844;-44.96271;928.2;0;8.63;1.685714286;770.76;1;0;0
-22.391797;-44.962684;928.2;0;5.87;1.685714286;776.63;1;0;0
-22.391772;-44.962673;928.2;0;3;1.685714286;779.63;1;0;0
-22.391644;-44.962627;928;-0.2;15;1.485714286;794.63;1;0;-0.2
-22.391475;-44.962573;928;0;19.59;1.485714286;814.22;1;0;0
-22.391277;-44.962516;927.2;-0.8;22.78;0.685714286;837;1;0;-0.8
-22.391253;-44.962509;927.2;0;2.76;0.685714286;839.76;1;0;0
-22.391094;-44.962473;926.8;-0.4;18.06;0.285714286;857.82;1;0;-0.4
-22.390953;-44.962461;926.8;0;15.73;0.285714286;873.55;1;0;0
-22.390858;-44.962457;926.8;0;10.57;0.285714286;884.12;1;0;0
-22.390787;-44.962451;926.4;-0.4;7.92;-0.114285714;892.04;1;0;-0.4
-22.390736;-44.962445;926;-0.4;5.7;-0.514285714;897.74;1;0;-0.4
-22.39064;-44.962445;925.8;-0.2;10.67;-0.714285714;908.41;1;0;-0.2
-22.390518;-44.962445;925.8;0;13.57;-0.714285714;921.98;1;0;0
-22.39047;-44.962449;925.8;0;5.35;-0.714285714;927.33;1;0;0
-22.390344;-44.962472;925.6;-0.2;14.21;-0.914285714;941.54;1;0;-0.2
-22.390246;-44.962489;925.2;-0.4;11.04;-1.314285714;952.58;1;0;-0.4
-22.390176;-44.962502;925.2;0;7.9;-1.314285714;960.48;1;0;0
-22.390104;-44.962517;925;-0.2;8.15;-1.514285714;968.63;1;0;-0.2
-22.390014;-44.962536;925;0;10.2;-1.514285714;978.83;1;0;0
-22.389852;-44.962511;924.8;-0.2;18.2;-1.714285714;997.03;1;0;-0.2
-22.392157;-44.958137;1015;0.2;2.88;0.2;999.91;2;0.2;0
-22.392173;-44.958116;1015.2;0.2;2.8;0.4;1002.71;2;0.2;0
-22.392189;-44.958094;1015.4;0.2;2.88;0.6;1005.59;2;0.2;0
-22.392204;-44.958074;1015.6;0.2;2.65;0.8;1008.24;2;0.2;0
-22.392219;-44.958055;1015.7;0.1;2.57;0.9;1010.81;2;0.1;0
-22.392234;-44.958035;1015.9;0.2;2.65;1.1;1013.46;2;0.2;0
-22.392249;-44.958015;1016.1;0.2;2.65;1.3;1016.11;2;0.2;0
-22.392269;-44.957989;1016.3;0.2;3.48;1.5;1019.59;2;0.2;0
-22.392289;-44.957964;1016.5;0.2;3.4;1.7;1022.99;2;0.2;0
-22.392309;-44.957939;1016.8;0.3;3.4;2;1026.39;2;0.3;0
-22.39232;-44.957913;1017;0.2;2.94;2.2;1029.33;2;0.2;0
-22.392331;-44.957887;1017.2;0.2;2.94;2.4;1032.27;2;0.2;0
-22.392343;-44.957861;1017.4;0.2;2.99;2.6;1035.26;2;0.2;0
-22.392354;-44.957836;1017.6;0.2;2.85;2.8;1038.11;2;0.2;0
-22.392364;-44.95781;1017.8;0.2;2.9;3;1041.01;2;0.2;0
-22.392375;-44.957784;1018;0.2;2.94;3.2;1043.95;2;0.2;0
-22.392385;-44.957758;1018.2;0.2;2.9;3.4;1046.85;2;0.2;0
-22.392396;-44.957732;1018.4;0.2;2.94;3.6;1049.79;2;0.2;0
-22.392406;-44.957711;1018.6;0.2;2.43;3.8;1052.22;2;0.2;0
-22.392416;-44.95769;1018.8;0.2;2.43;4;1054.65;2;0.2;0
-22.392426;-44.957669;1018.9;0.1;2.43;4.1;1057.08;2;0.1;0
-22.392437;-44.957648;1019.1;0.2;2.48;4.3;1059.56;2;0.2;0
-22.392447;-44.957627;1019.3;0.2;2.43;4.5;1061.99;2;0.2;0
-22.392456;-44.957605;1019.5;0.2;2.47;4.7;1064.46;2;0.2;0
-22.392466;-44.957584;1019.7;0.2;2.43;4.9;1066.89;2;0.2;0
-22.392476;-44.957563;1019.9;0.2;2.43;5.1;1069.32;2;0.2;0
-22.392485;-44.957542;1020.1;0.2;2.38;5.3;1071.7;2;0.2;0
-22.392495;-44.957521;1020.3;0.2;2.43;5.5;1074.13;2;0.2;0
-22.392505;-44.957498;1020.5;0.2;2.61;5.7;1076.74;2;0.2;0
-22.392516;-44.957476;1020.7;0.2;2.57;5.9;1079.31;2;0.2;0
-22.392526;-44.957453;1020.9;0.2;2.61;6.1;1081.92;2;0.2;0
-22.392537;-44.957431;1021.1;0.2;2.57;6.3;1084.49;2;0.2;0
-22.392536;-44.957403;1021.3;0.2;2.88;6.5;1087.37;2;0.2;0
-22.392535;-44.957375;1021.5;0.2;2.88;6.7;1090.25;2;0.2;0
-22.392535;-44.957347;1021.7;0.2;2.88;6.9;1093.13;2;0.2;0
-22.392534;-44.957319;1022;0.3;2.88;7.2;1096.01;2;0.3;0
-22.392537;-44.957298;1022.1;0.1;2.18;7.3;1098.19;2;0.1;0
-22.39254;-44.957277;1022.3;0.2;2.18;7.5;1100.37;2;0.2;0
-22.392543;-44.957256;1022.5;0.2;2.18;7.7;1102.55;2;0.2;0
-22.392547;-44.957235;1022.6;0.1;2.2;7.8;1104.75;2;0.1;0
-22.39255;-44.957214;1022.8;0.2;2.18;8;1106.93;2;0.2;0
-22.392557;-44.957193;1023;0.2;2.3;8.2;1109.23;2;0.2;0
-22.392564;-44.957173;1023.1;0.1;2.2;8.3;1111.43;2;0.1;0
-22.392571;-44.957153;1023.3;0.2;2.2;8.5;1113.63;2;0.2;0
-22.392579;-44.957133;1023.5;0.2;2.24;8.7;1115.87;2;0.2;0
-22.392586;-44.957113;1023.6;0.1;2.2;8.8;1118.07;2;0.1;0
-22.392595;-44.95709;1023.8;0.2;2.57;9;1120.64;2;0.2;0
-22.392605;-44.957067;1023.9;0.1;2.61;9.1;1123.25;2;0.1;0
-22.392614;-44.957044;1024.1;0.2;2.57;9.3;1125.82;2;0.2;0
-22.392624;-44.957022;1024.3;0.2;2.52;9.5;1128.34;2;0.2;0
-22.392645;-44.957004;1024.4;0.1;2.98;9.6;1131.32;2;0.1;0
-22.392665;-44.956986;1024.6;0.2;2.89;9.8;1134.21;2;0.2;0
-22.392686;-44.956968;1024.8;0.2;2.98;10;1137.19;2;0.2;0
-22.392707;-44.95695;1025;0.2;2.98;10.2;1140.17;2;0.2;0
-22.392725;-44.956928;1025.1;0.1;3.02;10.3;1143.19;2;0.1;0
-22.392743;-44.956906;1025.3;0.2;3.02;10.5;1146.21;2;0.2;0
-22.392762;-44.956884;1025.5;0.2;3.1;10.7;1149.31;2;0.2;0
-22.39278;-44.956863;1025.7;0.2;2.94;10.9;1152.25;2;0.2;0
-22.392767;-44.956826;1025.9;0.2;4.07;11.1;1156.32;2;0.2;0
-22.392754;-44.95679;1026.2;0.3;3.97;11.4;1160.29;2;0.3;0
-22.392742;-44.956754;1026.4;0.2;3.93;11.6;1164.22;2;0.2;0
-22.392737;-44.956735;1026.5;0.1;2.03;11.7;1166.25;2;0.1;0
-22.392732;-44.956715;1026.6;0.1;2.13;11.8;1168.38;2;0.1;0
-22.392727;-44.956696;1026.8;0.2;2.03;12;1170.41;2;0.2;0
-22.392722;-44.956677;1026.9;0.1;2.03;12.1;1172.44;2;0.1;0
-22.392717;-44.956658;1027;0.1;2.03;12.2;1174.47;2;0.1;0
-22.39271;-44.956639;1027.2;0.2;2.1;12.4;1176.57;2;0.2;0
-22.392704;-44.956619;1027.3;0.1;2.16;12.5;1178.73;2;0.1;0
-22.392697;-44.956599;1027.4;0.1;2.2;12.6;1180.93;2;0.1;0
-22.39269;-44.95658;1027.6;0.2;2.1;12.8;1183.03;2;0.2;0
