;latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
0;-22,390577;-44,966613;926,5142857142856;0,0;0,0;0,0;0,0;0;0,0;0,0
1;-22,390573;-44,96664;926,4;-0,11428571428564283;2,81;-0,11428571428564283;2,81;1;0,0;-0,11428571428564283
2;-22,390573;-44,966668;926,4;0,0;2,88;-0,11428571428564283;5,6899999999999995;1;0,0;0,0
3;-22,390568;-44,966689;926,2;-0,1999999999999318;2,23;-0,3142857142855746;7,92;1;0,0;-0,1999999999999318
4;-22,390742;-44,966651;926,0;-0,20000000000004547;19,74;-0,5142857142856201;27,659999999999997;1;0,0;-0,20000000000004547
5;-22,390747;-44,966752;926,0;0,0;10,4;-0,5142857142856201;38,059999999999995;1;0,0;0,0
6;-22,390885;-44,96672;926,2;0,20000000000004547;15,69;-0,3142857142855746;53,74999999999999;1;0,20000000000004547;0,0
7;-22,390925;-44,966702;926,2;0,0;4,82;-0,3142857142855746;58,56999999999999;1;0,0;0,0
8;-22,39104;-44,966673;926,2;0,0;13,13;-0,3142857142855746;71,69999999999999;1;0,0;0,0
9;-22,391169;-44,966658;926,0;-0,20000000000004547;14,43;-0,5142857142856201;86,13;1;0,0;-0,20000000000004547
10;-22,391194;-44,966653;926,0;0,0;2,83;-0,5142857142856201;88,96;1;0,0;0,0
11;-22,391216;-44,96665;926,0;0,0;2,47;-0,5142857142856201;91,42999999999999;1;0,0;0,0
12;-22,391239;-44,966644;926,0;0,0;2,63;-0,5142857142856201;94,05999999999999;1;0,0;0,0
13;-22,39134;-44,966619;926,0;0,0;11,52;-0,5142857142856201;105,57999999999998;1;0,0;0,0
14;-22,391432;-44,966615;925,8;-0,20000000000004547;10,24;-0,7142857142856656;115,81999999999998;1;0,0;-0,20000000000004547
15;-22,391454;-44,966611;925,8;0,0;2,48;-0,7142857142856656;118,29999999999998;1;0,0;0,0
16;-22,391548;-44,966584;926,0;0,20000000000004547;10,81;-0,5142857142856201;129,10999999999999;1;0,20000000000004547;0,0
17;-22,391566;-44,966576;926,0;0,0;2,16;-0,5142857142856201;131,26999999999998;1;0,0;0,0
18;-22,391721;-44,966543;925,8;-0,20000000000004547;17,57;-0,7142857142856656;148,83999999999997;1;0,0;-0,20000000000004547
19;-22,391788;-44,966535;925,8;0,0;7,5;-0,7142857142856656;156,33999999999997;1;0,0;0,0
20;-22,391844;-44,966494;925,8;0,0;7,52;-0,7142857142856656;163,85999999999999;1;0,0;0,0
21;-22,391854;-44,966384;925,8;0,0;11,36;-0,7142857142856656;175,21999999999997;1;0,0;0,0
22;-22,391818;-44,966227;925,4;-0,39999999999997726;16,63;-1,1142857142856428;191,84999999999997;1;0,0;-0,39999999999997726
23;-22,391816;-44,96618;925,2;-0,1999999999999318;4,84;-1,3142857142855746;196,68999999999997;1;0,0;-0,1999999999999318
24;-22,391804;-44,966108;925,2;0,0;7,52;-1,3142857142855746;204,20999999999998;1;0,0;0,0
25;-22,391798;-44,966084;925,2;0,0;2,56;-1,3142857142855746;206,76999999999998;1;0,0;0,0
26;-22,391756;-44,96589;925,4;0,1999999999999318;20,48;-1,1142857142856428;227,24999999999997;1;0,1999999999999318;0,0
27;-22,391748;-44,965834;925,2;-0,1999999999999318;5,83;-1,3142857142855746;233,07999999999998;1;0,0;-0,1999999999999318
28;-22,391735;-44,965701;924,8;-0,40000000000009095;13,75;-1,7142857142856656;246,82999999999998;1;0,0;-0,40000000000009095
29;-22,391699;-44,965546;924,8;0,0;16,43;-1,7142857142856656;263,26;1;0,0;0,0
30;-22,391693;-44,96552;924,6;-0,1999999999999318;2,76;-1,9142857142855974;266,02;1;0,0;-0,1999999999999318
31;-22,391652;-44,965351;924,2;-0,39999999999997726;17,96;-2,3142857142855746;283,97999999999996;1;0,0;-0,39999999999997726
32;-22,391645;-44,965322;924,2;0,0;3,08;-2,3142857142855746;287,05999999999995;1;0,0;0,0
33;-22,391625;-44,965182;924,0;-0,20000000000004547;14,56;-2,51428571428562;301,61999999999995;1;0,0;-0,20000000000004547
34;-22,391621;-44,965132;924,2;0,20000000000004547;5,16;-2,3142857142855746;306,78;1;0,20000000000004547;0,0
35;-22,391618;-44,96505;923,6;-0,6000000000000227;8,44;-2,9142857142855974;315,21999999999997;1;0,0;-0,6000000000000227
36;-22,391608;-44,96497;923,6;0,0;8,3;-2,9142857142855974;323,52;1;0,0;0,0
37;-22,391582;-44,964813;923,6;0,0;16,4;-2,9142857142855974;339,91999999999996;1;0,0;0,0
38;-22,391591;-44,964708;923,6;0,0;10,84;-2,9142857142855974;350,75999999999993;1;0,0;0,0
39;-22,391631;-44,964674;923,4;-0,20000000000004547;5,66;-3,114285714285643;356,41999999999996;1;0,0;-0,20000000000004547
40;-22,391684;-44,964654;923,0;-0,39999999999997726;6,24;-3,51428571428562;362,65999999999997;1;0,0;-0,39999999999997726
41;-22,391791;-44,964633;922,8;-0,20000000000004547;12,09;-3,7142857142856656;374,74999999999994;1;0,0;-0,20000000000004547
42;-22,391981;-44,964607;923,2;0,40000000000009095;21,3;-3,3142857142855746;396,04999999999995;1;0,40000000000009095;0,0
43;-22,392006;-44,964604;923,2;0,0;2,8;-3,3142857142855746;398,84999999999997;1;0,0;0,0
44;-22,392176;-44,964569;923,2;0,0;19,24;-3,3142857142855746;418,09;1;0,0;0,0
45;-22,392367;-44,964535;923,6;0,39999999999997726;21,52;-2,9142857142855974;439,60999999999996;1;0,39999999999997726;0,0
46;-22,392438;-44,964518;923,8;0,1999999999999318;8,09;-2,7142857142856656;447,69999999999993;1;0,1999999999999318;0,0
47;-22,39258;-44,964488;923,6;-0,1999999999999318;16,09;-2,9142857142855974;463,7899999999999;1;0,0;-0,1999999999999318
48;-22,392771;-44,964444;924,4;0,7999999999999545;21,71;-2,114285714285643;485,4999999999999;1;0,7999999999999545;0,0
49;-22,392927;-44,96439;924,6;0,20000000000004547;18,21;-1,9142857142855974;503,70999999999987;1;0,20000000000004547;0,0
50;-22,392993;-44,964273;923,8;-0,8000000000000682;14,09;-2,7142857142856656;517,7999999999998;1;0,0;-0,8000000000000682
51;-22,392951;-44,964145;923,2;-0,599999999999909;13,96;-3,3142857142855746;531,7599999999999;1;0,0;-0,599999999999909
52;-22,392802;-44,96402;923,2;0,0;20,97;-3,3142857142855746;552,7299999999999;1;0,0;0,0
53;-22,392777;-44,963975;923,2;0,0;5,4;-3,3142857142855746;558,1299999999999;1;0,0;0,0
54;-22,392773;-44,963924;923,0;-0,20000000000004547;5,26;-3,51428571428562;563,3899999999999;1;0,0;-0,20000000000004547
55;-22,392802;-44,963855;923,0;0,0;7,79;-3,51428571428562;571,1799999999998;1;0,0;0,0
