;latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
56;-22,3916625;-44,9652793;921,0;0,0;3,88;-1,0;215,11000000000004;1;0,0;0,0
57;-22,3916558;-44,9652423;921,0;0,0;3,88;-1,0;218,99000000000004;1;0,0;0,0
58;-22,3916491;-44,9652054;921,0;0,0;3,87;-1,0;222,86000000000004;1;0,0;0,0
59;-22,3916422;-44,9651685;921,0;0,0;3,87;-1,0;226,73000000000005;1;0,0;0,0
60;-22,3916353;-44,9651316;921,0;0,0;3,87;-1,0;230,60000000000005;1;0,0;0,0
61;-22,3916297;-44,9650942;921,0;0,0;3,9;-1,0;234,50000000000006;1;0,0;0,0
62;-22,3916241;-44,9650571;921,0;0,0;3,86;-1,0;238,36000000000007;1;0,0;0,0
63;-22,3916193;-44,96502;920,0;-1,0;3,85;-2,0;242,21000000000006;1;0,0;-1,0
64;-22,3916146;-44,9649829;920,0;0,0;3,85;-2,0;246,06000000000006;1;0,0;0,0
65;-22,3916088;-44,9649465;920,0;0,0;3,8;-2,0;249,86000000000007;1;0,0;0,0
66;-22,3916031;-44,9649101;920,0;0,0;3,8;-2,0;253,66000000000008;1;0,0;0,0
67;-22,391597;-44,9648747;920,0;0,0;3,7;-2,0;257,36000000000007;1;0,0;0,0
68;-22,3915912;-44,9648393;920,0;0,0;3,7;-2,0;261,06000000000006;1;0,0;0,0
69;-22,3915873;-44,9648053;920,0;0,0;3,52;-2,0;264,58000000000004;1;0,0;0,0
70;-22,3915833;-44,9647713;920,0;0,0;3,52;-2,0;268,1;1;0,0;0,0
71;-22,3915909;-44,9647418;920,0;0,0;3,15;-2,0;271,25;1;0,0;0,0
72;-22,3915985;-44,9647124;920,0;0,0;3,14;-2,0;274,39;1;0,0;0,0
73;-22,3916212;-44,9646938;919,0;-1,0;3,17;-3,0;277,56;1;0,0;-1,0
74;-22,3916438;-44,9646753;919,0;0,0;3,15;-3,0;280,71;1;0,0;0,0
75;-22,3916755;-44,9646662;919,0;0,0;3,65;-3,0;284,35999999999996;1;0,0;0,0
76;-22,3917071;-44,964657;919,0;0,0;3,64;-3,0;287,99999999999994;1;0,0;0,0
77;-22,391742;-44,9646532;919,0;0,0;3,9;-3,0;291,8999999999999;1;0,0;0,0
78;-22,391777;-44,9646493;919,0;0,0;3,91;-3,0;295,80999999999995;1;0,0;0,0
79;-22,3918114;-44,9646463;919,0;0,0;3,84;-3,0;299,6499999999999;1;0,0;0,0
80;-22,3918459;-44,9646434;919,0;0,0;3,85;-3,0;303,49999999999994;1;0,0;0,0
81;-22,3918796;-44,9646397;919,0;0,0;3,77;-3,0;307,2699999999999;1;0,0;0,0
82;-22,3919133;-44,9646361;920,0;1,0;3,77;-2,0;311,0399999999999;1;1,0;0,0
83;-22,3919466;-44,964633;920,0;0,0;3,72;-2,0;314,75999999999993;1;0,0;0,0
84;-22,3919802;-44,9646299;920,0;0,0;3,75;-2,0;318,50999999999993;1;0,0;0,0
85;-22,392014;-44,964626;920,0;0,0;3,78;-2,0;322,2899999999999;1;0,0;0,0
86;-22,3920479;-44,9646224;920,0;0,0;3,79;-2,0;326,0799999999999;1;0,0;0,0
87;-22,392083;-44,9646167;920,0;0,0;3,95;-2,0;330,0299999999999;1;0,0;0,0
88;-22,3921181;-44,9646111;920,0;0,0;3,95;-2,0;333,9799999999999;1;0,0;0,0
89;-22,3921529;-44,9646045;920,0;0,0;3,93;-2,0;337,9099999999999;1;0,0;0,0
90;-22,3921877;-44,964598;920,0;0,0;3,93;-2,0;341,8399999999999;1;0,0;0,0
91;-22,3922206;-44,9645918;920,0;0,0;3,71;-2,0;345,5499999999999;1;0,0;0,0
92;-22,3922535;-44,9645857;920,0;0,0;3,71;-2,0;349,2599999999999;1;0,0;0,0
93;-22,3922863;-44,9645797;920,0;0,0;3,7;-2,0;352,95999999999987;1;0,0;0,0
94;-22,3923191;-44,9645737;920,0;0,0;3,7;-2,0;356,65999999999985;1;0,0;0,0
95;-22,3923522;-44,9645673;920,0;0,0;3,74;-2,0;360,39999999999986;1;0,0;0,0
